### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,51,179,-72.6272,0,255,0,0,100,1,1
1,558,573,-88.0943,0,255,0,0,100,1,1
2,18,162,-12.4691,0,255,0,0,100,1,1
3,156,54,-77.3627,0,255,0,0,100,1,1
4,226,524,-139.813,0,255,0,0,100,1,1
5,106,260,-162.661,0,255,0,0,100,1,1
6,280,425,-60.2611,0,255,0,0,100,1,1
7,328,223,-127.8,0,255,0,0,100,1,1
8,571,552,33.7827,0,255,0,0,100,1,1
9,97,395,113.206,0,255,0,0,100,1,1
10,346,468,-100.502,0,255,0,0,100,1,1
11,30,296,-161.194,0,255,0,0,100,1,1
12,225,487,-98.0787,0,255,0,0,100,1,1
13,94,569,-127.153,0,255,0,0,100,1,1
14,584,252,-142.839,0,255,0,0,100,1,1
15,371,113,-31.0007,0,255,0,0,100,1,1
16,99,147,42.7233,0,255,0,0,100,1,1
17,542,296,-3.80053,0,255,0,0,100,1,1
18,568,170,-8.15274,0,255,0,0,100,1,1
19,508,271,-71.5665,0,255,0,0,100,1,1
20,142,253,-170.432,0,255,0,0,100,1,1
21,257,208,52.0679,0,255,0,0,100,1,1
22,388,146,-34.8206,0,255,0,0,100,1,1
23,260,66,-172.241,0,255,0,0,100,1,1
24,214,522,43.4364,0,255,0,0,100,1,1
25,167,160,-7.20518,0,255,0,0,100,1,1
26,237,274,60.9783,0,255,0,0,100,1,1
27,439,122,133.738,0,255,0,0,100,1,1
28,579,239,-50.9421,0,255,0,0,100,1,1
29,559,123,60.7775,0,255,0,0,100,1,1
30,542,572,-88.6245,0,255,0,0,100,1,1
31,58,313,-84.6031,0,255,0,0,100,1,1
32,230,329,178.696,0,255,0,0,100,1,1
33,250,37,-42.5962,0,255,0,0,100,1,1
34,83,513,-17.0658,0,255,0,0,100,1,1
35,400,402,132.865,0,255,0,0,100,1,1
36,560,205,-0.0994894,0,255,0,0,100,1,1
37,351,31,-64.1538,0,255,0,0,100,1,1
38,315,448,-89.2151,0,255,0,0,100,1,1
39,546,381,-152.908,0,255,0,0,100,1,1
40,257,564,-91.8784,0,255,0,0,100,1,1
41,320,570,10.7991,0,255,0,0,100,1,1
42,566,322,-50.1044,0,255,0,0,100,1,1
43,162,384,121.82,0,255,0,0,100,1,1
44,337,90,167.299,0,255,0,0,100,1,1
45,331,425,24.3457,0,255,0,0,100,1,1
46,237,118,-65.432,0,255,0,0,100,1,1
47,245,306,111.136,0,255,0,0,100,1,1
48,162,193,82.2218,0,255,0,0,100,1,1
49,257,72,-34.1766,0,255,0,0,100,1,1
50,197,448,146.453,0,255,0,0,100,1,1
51,177,403,25.5695,0,255,0,0,100,1,1
52,102,219,155.475,0,255,0,0,100,1,1
53,549,110,174.067,0,255,0,0,100,1,1
54,192,525,134.036,0,255,0,0,100,1,1
55,328,293,133.342,0,255,0,0,100,1,1
56,12,539,174.245,0,255,0,0,100,1,1
57,32,242,170.257,0,255,0,0,100,1,1
58,159,363,-17.4482,0,255,0,0,100,1,1
59,468,316,-173.039,0,255,0,0,100,1,1
60,552,504,-50.0098,0,255,0,0,100,1,1
61,91,210,-87.3998,0,255,0,0,100,1,1
62,535,80,138.336,0,255,0,0,100,1,1
63,274,328,122.628,0,255,0,0,100,1,1
64,366,135,-176.415,0,255,0,0,100,1,1
65,80,151,-46.4712,0,255,0,0,100,1,1
66,64,412,25.9643,0,255,0,0,100,1,1
67,360,323,-64.823,0,255,0,0,100,1,1
68,395,274,-150.261,0,255,0,0,100,1,1
69,30,484,-117.524,0,255,0,0,100,1,1
70,48,346,167.071,0,255,0,0,100,1,1
71,355,530,51.2382,0,255,0,0,100,1,1
72,463,35,-171.113,0,255,0,0,100,1,1
73,230,266,84.7228,0,255,0,0,100,1,1
74,508,95,-50.1183,0,255,0,0,100,1,1
75,194,58,163.044,0,255,0,0,100,1,1
76,132,575,164.101,0,255,0,0,100,1,1
77,250,57,-75.0046,0,255,0,0,100,1,1
78,326,573,157.822,0,255,0,0,100,1,1
79,462,377,-174.051,0,255,0,0,100,1,1
80,333,473,-14.2225,0,255,0,0,100,1,1
81,343,33,-25.7897,0,255,0,0,100,1,1
82,113,456,26.5823,0,255,0,0,100,1,1
83,572,228,-150.22,0,255,0,0,100,1,1
84,19,98,-43.5244,0,255,0,0,100,1,1
85,171,44,-141.447,0,255,0,0,100,1,1
86,540,546,-8.95252,0,255,0,0,100,1,1
87,87,391,-108.843,0,255,0,0,100,1,1
88,183,393,-27.1542,0,255,0,0,100,1,1
89,119,218,-66.056,0,255,0,0,100,1,1
90,382,450,-16.1943,0,255,0,0,100,1,1
91,228,464,-21.4491,0,255,0,0,100,1,1
92,88,172,132.206,0,255,0,0,100,1,1
93,67,281,-166.867,0,255,0,0,100,1,1
94,554,471,127.342,0,255,0,0,100,1,1
95,465,482,57.7288,0,255,0,0,100,1,1
96,474,550,-22.018,0,255,0,0,100,1,1
97,535,108,154.476,0,255,0,0,100,1,1
98,333,35,112.768,0,255,0,0,100,1,1
99,32,408,-45.8609,0,255,0,0,100,1,1
100,144,511,-21.8068,0,255,0,0,100,1,1
101,141,449,-13.753,0,255,0,0,100,1,1
102,164,430,-120.958,0,255,0,0,100,1,1
103,275,145,174.207,0,255,0,0,100,1,1
104,189,220,-13.7088,0,255,0,0,100,1,1
105,441,539,15.4423,0,255,0,0,100,1,1
106,43,298,-83.8207,0,255,0,0,100,1,1
107,293,311,69.2774,0,255,0,0,100,1,1
108,212,105,87.8539,0,255,0,0,100,1,1
109,11,448,-100.604,0,255,0,0,100,1,1
110,178,182,-87.1814,0,255,0,0,100,1,1
111,177,524,33.2911,0,255,0,0,100,1,1
112,461,558,113.23,0,255,0,0,100,1,1
113,195,151,-54.5402,0,255,0,0,100,1,1
114,320,320,27.4987,0,255,0,0,100,1,1
115,23,397,-110.477,0,255,0,0,100,1,1
116,287,377,-55.2102,0,255,0,0,100,1,1
117,450,25,-5.75613,0,255,0,0,100,1,1
118,61,507,177.47,0,255,0,0,100,1,1
119,348,147,110.807,0,255,0,0,100,1,1
120,58,116,-161.861,0,255,0,0,100,1,1
121,574,214,-0.76485,0,255,0,0,100,1,1
122,40,86,128.577,0,255,0,0,100,1,1
123,267,353,93.2379,0,255,0,0,100,1,1
124,198,102,69.4738,0,255,0,0,100,1,1
125,443,20,21.5332,0,255,0,0,100,1,1
126,309,112,-164.806,0,255,0,0,100,1,1
127,437,218,106.574,0,255,0,0,100,1,1
128,266,369,124.544,0,255,0,0,100,1,1
129,171,258,-15.8624,0,255,0,0,100,1,1
130,550,15,-136.442,0,255,0,0,100,1,1
131,565,395,-124.243,0,255,0,0,100,1,1
132,221,205,12.3279,0,255,0,0,100,1,1
133,570,469,-162.806,0,255,0,0,100,1,1
134,241,483,-144.971,0,255,0,0,100,1,1
135,188,463,146.134,0,255,0,0,100,1,1
136,559,536,138.184,0,255,0,0,100,1,1
137,137,287,-90.1465,0,255,0,0,100,1,1
138,537,339,-179.724,0,255,0,0,100,1,1
139,166,35,-54.4748,0,255,0,0,100,1,1
140,340,566,164.373,0,255,0,0,100,1,1
141,385,489,-169.276,0,255,0,0,100,1,1
142,302,210,-154.165,0,255,0,0,100,1,1
143,60,35,73.3937,0,255,0,0,100,1,1
144,86,496,21.5802,0,255,0,0,100,1,1
145,191,248,48.6421,0,255,0,0,100,1,1
146,53,54,-115.613,0,255,0,0,100,1,1
147,31,124,-40.5922,0,255,0,0,100,1,1
