### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,390,45,-59.6468,0,255,0,0,100,1,1
1,229,396,-69.9019,0,255,0,0,100,1,1
2,196,99,1.09583,0,255,0,0,100,1,1
3,223,537,158.679,0,255,0,0,100,1,1
4,331,243,-174.845,0,255,0,0,100,1,1
5,575,408,-68.776,0,255,0,0,100,1,1
6,465,195,-88.7677,0,255,0,0,100,1,1
7,230,528,-164.425,0,255,0,0,100,1,1
8,375,391,-27.2643,0,255,0,0,100,1,1
9,40,496,-140.157,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
